Metric,Value
Count,10000000
Min,0.0008
Max,9999.9998
Mean,4999.8454
Median,4999.2073
Variance,8332232.8727
StdDev,2886.5607
Histogram_Bins,20
Histogram_Bin0,499853
Histogram_Bin1,500241
Histogram_Bin2,499129
Histogram_Bin3,500973
Histogram_Bin4,499486
Histogram_Bin5,499047
Histogram_Bin6,501145
Histogram_Bin7,500666
Histogram_Bin8,500365
Histogram_Bin9,499894
Histogram_Bin10,499992
Histogram_Bin11,499039
Histogram_Bin12,501107
Histogram_Bin13,499417
Histogram_Bin14,499233
Histogram_Bin15,500903
Histogram_Bin16,499734
Histogram_Bin17,499880
Histogram_Bin18,500101
Histogram_Bin19,499795
SortTime_ms,207.7627
PearsonCorrelation,0.0003
MovingAverage_WindowSize,100
Outlier_Threshold,3.0000
Outlier_Count,0
Task1_BasicStats_ms,1092.5438
Task2_Histogram_ms,10.2452
Task3_Sorting_ms,207.7627
Task4_Correlation_ms,20.7156
Task5_MovingAverage_ms,22.6438
Task6_OutlierDetection_ms,5.1987
TotalTime_ms,1380.8966
Nodes,4
